,Заказ,БазисСрокНачала,Плановая дата,ПользСтатус (заказа),СистСтатус,ОбщееВремяПростояТК,Краткий текст,СистСтатСообщТОРО,ЕО; teh_mesto; СПП-ЗаголЗаказа
121,1600129662,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1613,СОРА ЗКПР,"100000008670
03-CTT-KD05
LT-1200-2022-2-014-02"
122,1600129636,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1624,СОРА ЗКПР,"100000021344
03-CTT-KM04
LT-1200-2022-2-014-02"
123,1600129259,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
124,1600129379,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1621,СОРА ЗКПР,"100000006408
03-CTT-KM01
LT-1200-2022-2-014-02"
125,1600129648,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1613,СОРА ЗКПР,"100000008670
03-CTT-KD05
LT-1200-2022-2-014-02"
126,1600129731,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1614,СОРА ЗКПР,"100000008671
03-CTT-KD06
LT-1200-2022-2-014-02"
127,1600129678,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1614,СОРА ЗКПР,"100000008671
03-CTT-KD06
LT-1200-2022-2-014-02"
128,1600129492,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1610,СОРА ЗКПР,"100000008667
03-CTT-KD02
LT-1200-2022-2-014-02"
129,1600129499,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1610,СОРА ЗКПР,"100000008667
03-CTT-KD02
LT-1200-2022-2-014-02"
130,1600129779,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1615,СОРА ЗКПР,"100000008672
03-CTT-KD07
LT-1200-2022-2-014-02"
131,1600129767,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1615,СОРА ЗКПР,"100000008672
03-CTT-KD07
LT-1200-2022-2-014-02"
132,1600129703,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1624,СОРА ЗКПР,"100000021344
03-CTT-KM04
LT-1200-2022-2-014-02"
133,1600129533,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №6 СЛ,СОРА ЗКПР,"100000068232
03-KON-OBSL-OB07
nan"
134,1600129417,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1629,СОРА ЗКПР,"100000022783
03-CTT-KM09
LT-1200-2022-2-014-02"
135,1600129410,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена HD1500-8 №1629,СОРА ЗКПР,"100000022783
03-CTT-KM09
LT-1200-2022-2-014-02"
136,1600129313,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1627,СОРА ЗКПР,"100000022743
03-CTT-KM07
LT-1200-2022-2-014-02"
137,1600129278,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена HD1500-8 №1627,СОРА ЗКПР,"100000022743
03-CTT-KM07
LT-1200-2022-2-014-02"
138,1600129717,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1625,СОРА ЗКПР,"100000021364
03-CTT-KM05
LT-1200-2022-2-014-02"
139,1600129372,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1621,СОРА ЗКПР,"100000006408
03-CTT-KM01
LT-1200-2022-2-014-02"
