,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса,planned_in_jan_and_remaining_in_jan,planned_in_jan_moved_to_somewhere,planned_in_jan_moved_to_feb,planned_in_jan_moved_to_mar,planned_in_jan_moved_to_apr,planned_in_jan_moved_to_may,planned_in_jan_moved_to_jun,planned_in_jan_moved_to_jul,planned_in_jan_moved_to_aug,planned_in_jan_moved_to_sep,planned_in_jan_moved_to_oct,planned_in_jan_moved_to_nov,planned_in_jan_moved_to_dec,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,level_1_description,Unnamed: 0,Название технического места
1595,Экскаватор PC1250-8 №1204,100000068233,Экскаватор РС1250-8 СЛ,Техническое обслуживание 2,APP1,1100363592,ТО-2 Экскаватор РС1250-8 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-18,2022-12-18,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор PC1250-8 №1204,03-RUD-EKSK-OOBR-EX05,1214011923.0,E03_01,Экскаваторы гидравлические,100000068233,Экскаватор PC1250-8 №1204,E03_01,Экскаваторы гидравли,Экскаватор №1204,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX05,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1596,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381380,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-19,2022-12-19,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1629,03-CTT-KM09,1213011320.0,E01_01,Самосвалы карьерные,100000022783,Самосвал карьерный HD1500-8 №1629,E01_01,Самосвалы карьерные,Самосвал №1629,03-CTT-K150,first03-CTT-KM09,first03,03,CTT,03-CTT,KM09,-,KM09,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
1597,Самосвал карьерный БЕЛАЗ-7547 №2441,100000068227,БелАЗ 7547 №1 СЛ,Техническое обслуживание 3,APP1,1100368836,ТО-3 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-19,2022-12-19,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2441,03-KON-OBSL-OB02,1245112123.0,E01_01,Самосвалы карьерные,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,E01_01,Самосвалы карьерные,БелАЗ-7547 №2441,03-KON-OBSL-PBEL,first03-KON-OBSL-OB02,first03,03,KON,03-KON,OBSL,-,OBSL,OB02,no_data,Полюс Вернинское,573,Самосвалы БелАЗ-7547
1598,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание 2,APP1,1100363107,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-19,2022-12-19,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1629,03-CTT-KM09,1213011320.0,E01_01,Самосвалы карьерные,100000022783,Самосвал карьерный HD1500-8 №1629,E01_01,Самосвалы карьерные,Самосвал №1629,03-CTT-K150,first03-CTT-KM09,first03,03,CTT,03-CTT,KM09,-,KM09,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
1599,Самосвал карьерный HD1500-8 №1623,100000006410,ТР Самосвал HD1500-8 №1623,Текущий ремонт,APP1,1100381288,ТР Самосвал HD1500-8 №1623,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-19,2022-12-19,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1623,03-CTT-KM03,1213011320.0,E01_01,Самосвалы карьерные,100000006410,Самосвал карьерный HD1500-8 №1623,E01_01,Самосвалы карьерные,Самосвал №1623,03-CTT-K150,first03-CTT-KM03,first03,03,CTT,03-CTT,KM03,-,KM03,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
1600,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание 2,APP1,1100360802,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-19,2022-12-19,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1623,03-CTT-KM03,1213011320.0,E01_01,Самосвалы карьерные,100000006410,Самосвал карьерный HD1500-8 №1623,E01_01,Самосвалы карьерные,Самосвал №1623,03-CTT-K150,first03-CTT-KM03,first03,03,CTT,03-CTT,KM03,-,KM03,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
1601,ЭД асинх YJ142A,100000025403,(ТО) YJ142A,Техническое обслуживание,APP1,1100359626,(ТО) YJ142A,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-20,2022-12-20,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ142A,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1602,ЭД асинх YJ80A1,100000025406,(ТО)YJ80A1,Текущий ремонт,APP1,1100359571,(ТР)YJ80A1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-20,2022-12-20,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ80A1,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1603,ЭД асинх YJ56E,100000025402,(ТО)YJ56E,Текущий ремонт,APP1,1100359549,(ТР)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-20,2022-12-20,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ56E,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1604,ЭД асинх YJ56E,100000025401,(ТО)YJ56E,Текущий ремонт,APP1,1100359537,(ТО)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-20,2022-12-20,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ56E,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1605,ЭД асинх YJ80A1,100000025407,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359589,(ТО)YJ80A1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-20,2022-12-20,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ80A1,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1606,ЭД асинх YX3-121M-4,100000025398,(ТО)YX3-121M-4,Техническое обслуживание,APP1,1100359888,(ТО)YX3-121M-4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-20,2022-12-20,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YX3-121M-4,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1607,ЭД асинх YJ13L4,100000025393,(ТО) YJ13L4,Текущий ремонт,APP1,1100359648,(ТР) YJ13L4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-20,2022-12-20,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ13L4,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1608,ЭД асинх 4МТКН411-8,100000009358,(ТО) 4МТКН411-8,Техническое обслуживание,APP1,1100358857,(ТО) 4МТКН411-8,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-21,2022-10-11,12,10,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх 4МТКН411-8,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1609,ЭД асинх 4МТКН411-8,100000009600,(ТО) 4МТКН411-8,Техническое обслуживание,APP1,1100359041,(ТО) 4МТКН411-8,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-21,2022-11-21,12,11,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх 4МТКН411-8,03-RUD-EKSK-OOBR-EX03,1212011220.0,E32_01,Двигатели асинхронные,100000009137,Экскаватор электрический ЭКГ-10 №1208,E03_02,Экскаваторы электрич,Экскаватор №1208,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1610,Генератор подъёма_ 4ГПЭМ 600-1/1,100000009355,(ТО) 4ГПЭМ 600-1/1,Техническое обслуживание,APP1,1100358953,(ТО) 4ГПЭМ 600-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-21,2022-12-21,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Генератор подъёма_ 4ГПЭМ 600-1/1,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1611,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание 3,APP1,1100364247,Техническое обслуживание 3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-21,2022-12-21,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1630,03-CTT-KM10,1213011320.0,E01_01,Самосвалы карьерные,100000071921,Самосвал карьерный HD1500-8 №1630,E01_01,Самосвалы карьерные,Самосвал №1630,03-CTT-K150,first03-CTT-KM10,first03,03,CTT,03-CTT,KM10,-,KM10,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
1612,Генератор напора_4ГПЭМ 170-1/1,100000009352,(ТО) 4ГПЭМ 170-1/1,Техническое обслуживание,APP1,1100358982,(ТО) 4ГПЭМ 170-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-21,2022-12-21,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Генератор напора_4ГПЭМ 170-1/1,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1613,ЭД пост тока 4ГПЭ 300-1/2,100000009353,(ТО) 4ГПЭ 300-1/2,Техническое обслуживание,APP1,1100358927,(ТО) 4ГПЭ 300-1/2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-21,2022-12-21,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока 4ГПЭ 300-1/2,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1614,ЭД синх ДСЭ-750-6,100000009354,(ТО) ДСЭ-750-6,Техническое обслуживание,APP1,1100358853,(ТО) ДСЭ-750-6,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-21,2022-12-21,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД синх ДСЭ-750-6,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_02,Двигатели синхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1615,ЭД пост тока ДЭ-818,100000009351,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359053,(ТО) ДЭ-818 К 005,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-22,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока ДЭ-818,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1616,ЭД асинх АИР100S4,100000009365,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359110,(ТО) АИР100S4У2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-11-12,12,11,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР100S4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1617,ЭД асинх АИРМ80B4,100000009364,(ТО) АИРМ80B4,Техническое обслуживание,APP1,1100359340,(ТО) АИРМ80B4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-11-12,12,11,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИРМ80B4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1618,ЭД пост тока Д-12,100000009356,(ТО) Д-12,Техническое обслуживание,APP1,1100359104,(ТО) Д-12,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-22,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока Д-12,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1619,ЭД асинх АИР132S4,100000009596,(ТО) АИР132S4,Техническое обслуживание,APP1,1100359259,(ТО) АИР132S4E3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-10-22,12,10,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР132S4,03-RUD-EKSK-OOBR-EX03,1212011220.0,E32_01,Двигатели асинхронные,100000009137,Экскаватор электрический ЭКГ-10 №1208,E03_02,Экскаваторы электрич,Экскаватор №1208,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1620,ЭД асинх АИР100S4,100000009366,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359113,(ТО) АИР100S4У2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-02,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР100S4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1621,ЭД пост тока ДЭВ-814,100000009350,(ТО) ДЭВ-814,Техническое обслуживание,APP1,1100359193,(ТО) ДЭВ-814 К 004,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-22,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока ДЭВ-814,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1622,ЭД асинх АИР112S4,100000009707,(ТО) АИР112S4,Техническое обслуживание,APP1,1100359171,(ТО) АИР112S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-02,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР112S4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1623,ЭД асинх АИРМ132S4E3,100000009362,(ТО) АИРМ132S4,Техническое обслуживание,APP1,1100359327,(ТО) АИРМ132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-11-12,12,11,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИРМ132S4E3,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1624,ЭД асинх Д-31,100000009372,(ТО) Д-31,Техническое обслуживание,APP1,1100359127,(ТО) Д-31 К 026,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-22,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх Д-31,03-RUD-EKSK-OOBR-EX03,1212011220.0,E32_01,Двигатели асинхронные,100000009137,Экскаватор электрический ЭКГ-10 №1208,E03_02,Экскаваторы электрич,Экскаватор №1208,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1625,Самосвал карьерный HD785-7 №1611,100000008668,Самосвал HD785-7 №1611 МТЧ,Техническое обслуживание 1,APP1,1100359375,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-22,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1611,03-CTT-KD03,1213011220.0,E01_01,Самосвалы карьерные,100000008668,Самосвал карьерный HD785-7 №1611,E01_01,Самосвалы карьерные,Самосвал №1611,03-CTT-K787,first03-CTT-KD03,first03,03,CTT,03-CTT,KD03,-,KD03,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
1626,ЭД асинх АИР80В4,100000009363,(ТО) АИР80В4,Техническое обслуживание,APP1,1100359136,(ТО) АИР80В4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-11-12,12,11,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР80В4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1627,ЭД асинх Д-31,100000009357,(ТО) Д-31,Техническое обслуживание,APP1,1100359095,(ТО) Д-31,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-22,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх Д-31,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
1628,Самосвал карьерный HD785-7 №1611,100000008668,ТР Самосвал HD785-7 №1611,Текущий ремонт,APP1,1100380636,ТР Самосвал HD785-7 №1611,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-12-22,2022-12-22,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1611,03-CTT-KD03,1213011220.0,E01_01,Самосвалы карьерные,100000008668,Самосвал карьерный HD785-7 №1611,E01_01,Самосвалы карьерные,Самосвал №1611,03-CTT-K787,first03-CTT-KD03,first03,03,CTT,03-CTT,KD03,-,KD03,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
1629,ЭД асинх АИР80S4,100000009708,(ТО) АИР80S4,Техническое обслуживание,APP1,1100359344,(ТО) АИР80S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-02,12,12,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР80S4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
