код стратегии,Название стратерии,Текст цикла ПредупрТОРО,КраткНазвЦикла,Сцепка,Цикл,Единица,код стратегии_счетчик
1-0030,ЧАС ТО360-ТР8640,Техническое обслуживание,ТО,1-0030ТО,"360,00",ЧАС,1-0030ТО
1-0030,ЧАС ТО360-ТР8640,Текущий ремонт,ТР,1-0030ТР,"8640,00",ЧАС,1-0030ТР
1-0031,ЧАС 6717280,ТР вал-шестерни,67,1-003167,"17280,00",ЧАС,1-003167
1-0032,ЧАС 8134560,ТР промежуточного вала,81,1-003281,"34560,00",ЧАС,1-003281
1-0033,ЧАС ТО720-Т117280,Техническое обслуживание,ТО,1-0033ТО,"720,00",ЧАС,1-0033ТО
1-0033,ЧАС ТО720-Т117280,Текущий ремонт 1,Т1,1-0033Т1,"17280,00",ЧАС,1-0033Т1
1-0034,ЧАС О196-О2504-О31008-ТР1008-К,Техническое обслуживание 1,О1,1-0034О1,"96,00",ЧАС,1-0034О1
1-0034,ЧАС О196-О2504-О31008-ТР1008-К,Техническое обслуживание 2,О2,1-0034О2,"504,00",ЧАС,1-0034О2
1-0034,ЧАС О196-О2504-О31008-ТР1008-К,Техническое обслуживание 3,О3,1-0034О3,"1008,00",ЧАС,1-0034О3
1-0034,ЧАС О196-О2504-О31008-ТР1008-К,Текущий ремонт,ТР,1-0034ТР,"1008,00",ЧАС,1-0034ТР
1-0034,ЧАС О196-О2504-О31008-ТР1008-К,Капитальный ремонт,КР,1-0034КР,"6000,00",ЧАС,1-0034КР
1-0035,ЧАС О148-О2240-О31008-ТР1008-К,Техническое обслуживание 1,О1,1-0035О1,"48,00",ЧАС,1-0035О1
1-0035,ЧАС О148-О2240-О31008-ТР1008-К,Техническое обслуживание 2,О2,1-0035О2,"240,00",ЧАС,1-0035О2
1-0035,ЧАС О148-О2240-О31008-ТР1008-К,Техническое обслуживание 3,О3,1-0035О3,"1008,00",ЧАС,1-0035О3
1-0035,ЧАС О148-О2240-О31008-ТР1008-К,Текущий ремонт,ТР,1-0035ТР,"1008,00",ЧАС,1-0035ТР
1-0035,ЧАС О148-О2240-О31008-ТР1008-К,Капитальный ремонт,КР,1-0035КР,"6000,00",ЧАС,1-0035КР
1-0036,ЧАС ТО432-ТР4320-КР17280,Техническое обслуживание,ТО,1-0036ТО,"432,00",ЧАС,1-0036ТО
1-0036,ЧАС ТО432-ТР4320-КР17280,Текущий ремонт,ТР,1-0036ТР,"4320,00",ЧАС,1-0036ТР
1-0036,ЧАС ТО432-ТР4320-КР17280,Капитальный ремонт,КР,1-0036КР,"17280,00",ЧАС,1-0036КР
1-0037,ЧАС ТО504-ТР1992-КР19992,Техническое обслуживание,ТО,1-0037ТО,"504,00",ЧАС,1-0037ТО
1-0037,ЧАС ТО504-ТР1992-КР19992,Текущий ремонт,ТР,1-0037ТР,"1992,00",ЧАС,1-0037ТР
1-0037,ЧАС ТО504-ТР1992-КР19992,Капитальный ремонт,КР,1-0037КР,"19992,00",ЧАС,1-0037КР
1-0038,ЧАС ТО504-ТР1992-КР25008,Техническое обслуживание,ТО,1-0038ТО,"504,00",ЧАС,1-0038ТО
1-0038,ЧАС ТО504-ТР1992-КР25008,Текущий ремонт,ТР,1-0038ТР,"1992,00",ЧАС,1-0038ТР
1-0038,ЧАС ТО504-ТР1992-КР25008,Капитальный ремонт,КР,1-0038КР,"25008,00",ЧАС,1-0038КР
1-0039,ЧАС О22160,Техническое обслуживание 2,О2,1-0039О2,"2160,00",ЧАС,1-0039О2
1-0040,ЧАС ТР8640-КР60120,Текущий ремонт,ТР,1-0040ТР,"8640,00",ЧАС,1-0040ТР
1-0040,ЧАС ТР8640-КР60120,Капитальный ремонт,КР,1-0040КР,"60120,00",ЧАС,1-0040КР
1-0041,ЧАС Т17200-Т214400,Текущий ремонт 1,Т1,1-0041Т1,"7200,00",ЧАС,1-0041Т1
1-0041,ЧАС Т17200-Т214400,Текущий ремонт 2,Т2,1-0041Т2,"14400,00",ЧАС,1-0041Т2
1-0042,ЧАС ТО2160-Т14320-Т28640,Техническое обслуживание,ТО,1-0042ТО,"2160,00",ЧАС,1-0042ТО
1-0042,ЧАС ТО2160-Т14320-Т28640,Текущий ремонт 1,Т1,1-0042Т1,"4320,00",ЧАС,1-0042Т1
1-0042,ЧАС ТО2160-Т14320-Т28640,Текущий ремонт 2,Т2,1-0042Т2,"8640,00",ЧАС,1-0042Т2
1-0043,ЧАС ТО720-Т14320-Т28640-Т3,Техническое обслуживание,ТО,1-0043ТО,"720,00",ЧАС,1-0043ТО
1-0043,ЧАС ТО720-Т14320-Т28640-Т3,Текущий ремонт 1,Т1,1-0043Т1,"4320,00",ЧАС,1-0043Т1
1-0043,ЧАС ТО720-Т14320-Т28640-Т3,Текущий ремонт 2,Т2,1-0043Т2,"8640,00",ЧАС,1-0043Т2
1-0043,ЧАС ТО720-Т14320-Т28640-Т3,Текущий ремонт 3,Т3,1-0043Т3,"17280,00",ЧАС,1-0043Т3
1-0044,ЧАС ТО1080-Т2160-Т4320-Т3-КР,Техническое обслуживание,ТО,1-0044ТО,"1080,00",ЧАС,1-0044ТО
1-0044,ЧАС ТО1080-Т2160-Т4320-Т3-КР,Текущий ремонт 1,Т1,1-0044Т1,"2160,00",ЧАС,1-0044Т1
1-0044,ЧАС ТО1080-Т2160-Т4320-Т3-КР,Текущий ремонт 2,Т2,1-0044Т2,"4320,00",ЧАС,1-0044Т2
1-0044,ЧАС ТО1080-Т2160-Т4320-Т3-КР,Текущий ремонт 3,Т3,1-0044Т3,"8640,00",ЧАС,1-0044Т3
1-0044,ЧАС ТО1080-Т2160-Т4320-Т3-КР,Капитальный ремонт,КР,1-0044КР,"17280,00",ЧАС,1-0044КР
1-0045,ЧАС Т11440-Т24320-Т3-КР17280,Текущий ремонт 1,Т1,1-0045Т1,"1440,00",ЧАС,1-0045Т1
