Год,Месяц,БЕ,Класс ЕО,Модель ЕО,count,month_year
2024,12,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,12_2024
2024,12,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,12_2024
2024,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,14,12_2024
2025,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,1_2025
2025,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,1_2025
2025,1,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,1_2025
2025,1,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,1_2025
2025,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29,1_2025
2025,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,2_2025
2025,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,2_2025
2025,2,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,2_2025
2025,2,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,2_2025
2025,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29,2_2025
2025,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,3_2025
2025,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,3_2025
2025,3,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,3_2025
2025,3,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,3_2025
2025,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29,3_2025
2025,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,4_2025
2025,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,4_2025
2025,4,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,4_2025
2025,4,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,4_2025
2025,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29,4_2025
