ЕО,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
sl_730_24,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №24 (для расчета),1
sl_730_25,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №25 (для расчета),1
sl_730_26,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №26 (для расчета),1
sl_730_27,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №27 (для расчета),1
sl_730_28,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №28 (для расчета),1
sl_730_29,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №29 (для расчета),1
sl_730_30,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №30 (для расчета),1
sl_730_31,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №31 (для расчета),1
sl_730_32,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №32 (для расчета),1
sl_730_33,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №33 (для расчета),1
sl_730_34,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №34 (для расчета),1
sl_730_35,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №35 (для расчета),1
sl_730_36,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №36 (для расчета),1
sl_730_37,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №37 (для расчета),1
sl_730_38,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №38 (для расчета),1
sl_730_39,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №39 (для расчета),1
sl_730_40,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №40 (для расчета),1
sl_730_41,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №41 (для расчета),1
sl_730_42,2025-07-01,2035-07-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №42 (для расчета),1
