eo,year,month,calendar_fond,downtime_status
100000084396,2028,12,744,"89,82000000000001"
100000084396,2029,1,744,"128,82"
100000084396,2029,2,672,"89,84"
100000084396,2029,3,744,"114,82000000000001"
100000084396,2029,4,720,"110,82000000000001"
100000084396,2029,5,744,"102,82000000000001"
100000084396,2029,6,720,"127,16"
100000084396,2029,7,744,"97,82000000000001"
100000084396,2029,8,744,"652,64"
100000084396,2029,9,720,"97,82000000000001"
100000084396,2029,10,744,"140,16"
100000084396,2029,11,720,"99,16"
100000084396,2029,12,744,"148,5"
100000084396,2030,1,744,"101,82000000000001"
100000084396,2030,2,672,"101,84"
100000084396,2030,3,360,"93,26"
sl_730_1,2024,9,719,"37,8"
sl_730_1,2024,10,744,"45,14"
sl_730_1,2024,11,720,"53,14"
sl_730_1,2024,12,744,"45,800000000000004"
sl_730_1,2025,1,744,"46,14"
sl_730_1,2025,2,672,"54,82"
sl_730_1,2025,3,744,"45,480000000000004"
sl_730_1,2025,4,720,"46,14"
sl_730_1,2025,5,744,"51,14"
sl_730_1,2025,6,720,"43,480000000000004"
sl_730_1,2025,7,744,"45,46"
sl_730_1,2025,8,744,"61,480000000000004"
sl_730_1,2025,9,720,"44,14"
sl_730_1,2025,10,744,"49,480000000000004"
sl_730_1,2025,11,720,"73,48"
sl_730_1,2025,12,744,"46,14"
sl_730_1,2026,1,744,"56,46"
sl_730_1,2026,2,672,"48,160000000000004"
sl_730_1,2026,3,744,"62,800000000000004"
sl_730_1,2026,4,720,"55,480000000000004"
sl_730_1,2026,5,744,"48,800000000000004"
sl_730_1,2026,6,720,"50,82"
sl_730_1,2026,7,744,"63,14"
sl_730_1,2026,8,744,"66,14"
sl_730_1,2026,9,720,"44,800000000000004"
sl_730_1,2026,10,744,"62,14"
sl_730_1,2026,11,720,"56,480000000000004"
sl_730_1,2026,12,744,"43,800000000000004"
sl_730_1,2027,1,744,"56,14"
sl_730_1,2027,2,672,"89,16"
sl_730_1,2027,3,744,"43,14"
sl_730_1,2027,4,720,"56,14"
sl_730_1,2027,5,744,"377,9"
sl_730_1,2027,6,720,"320,22"
sl_730_1,2027,7,744,"67,48"
sl_730_1,2027,8,744,"64,14"
sl_730_1,2027,9,720,"56,480000000000004"
sl_730_1,2027,10,744,"69,14"
