ЕО,eo_model_id,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
100000058937,49,2013-04-05,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №37,1
100000058882,38,2015-12-01,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Машина многоцел МКСМ,Машина многоцел МКСМ-1000 №7113ХЕ24,1
100000058924,51,2012-09-17,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-3,Погрузчик фронтальный WA600-3 №39,1
100000058925,51,2012-09-17,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-3,Погрузчик фронтальный WA600-3 №40,1
100000058927,49,2012-10-07,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №50,1
100000059038,57,2016-07-15,2027-07-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA900-3,Погрузчик фронтальный WA900-3 №506,1
100000065921,38,2018-09-12,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Машина многоцел МКСМ,Машина многоцел МКСМ-1000Н №3901,1
100000027475,43,2018-11-03,2030-07-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный 994K,Погрузчик фронтальный 994K №3503,1
100000027473,52,2018-10-30,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчик фронтальный WA600-6 №3505,1
100000066506,49,2019-05-31,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3A №3517,1
100000059033,49,2015-10-17,2023-07-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №502,1
100000026795,47,2019-07-10,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA430-6,Погрузчик фронтальный WA430-6 №3509,1
