,level_1_description,eo_class_description,eo_model_name,year,month,eo_code,count
205,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,8,100000065514,1
206,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,9,100000065514,1
207,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,10,100000065514,1
208,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,11,100000065514,1
209,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,12,100000065514,1
210,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,1,100000065514,1
211,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,2,100000065514,1
212,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,3,100000065514,1
213,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,4,100000065514,1
214,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,5,100000065514,1
215,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,6,100000065514,1
216,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,7,100000065514,1
217,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,8,100000065514,1
218,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,9,100000065514,1
219,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,10,100000065514,1
220,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,11,100000065514,1
221,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2022,12,100000065514,1
222,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,1,100000065514,1
223,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,2,100000065514,1
224,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,3,100000065514,1
225,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,4,100000065514,1
226,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,5,100000065514,1
227,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,6,100000065514,1
228,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,7,100000065514,1
229,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,8,100000065514,1
230,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,9,100000065514,1
231,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,10,100000065514,1
232,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,11,100000065514,1
233,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2023,12,100000065514,1
234,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,1,100000065514,1
235,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,2,100000065514,1
236,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,3,100000065514,1
237,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,4,100000065514,1
238,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,5,100000065514,1
239,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,6,100000065514,1
240,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,7,100000065514,1
241,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,8,100000065514,1
242,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,9,100000065514,1
243,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,10,100000065514,1
244,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,11,100000065514,1
245,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2024,12,100000065514,1
246,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,1,100000065514,1
247,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,2,100000065514,1
248,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,3,100000065514,1
249,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,4,100000065514,1
250,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,5,100000065514,1
251,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,6,100000065514,1
252,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,7,100000065514,1
253,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,8,100000065514,1
254,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,9,100000065514,1
255,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,10,100000065514,1
256,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,11,100000065514,1
257,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2025,12,100000065514,1
258,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,1,100000065514,1
259,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,2,100000065514,1
260,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,3,100000065514,1
261,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,4,100000065514,1
262,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,5,100000065514,1
263,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,6,100000065514,1
264,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,7,100000065514,1
265,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,8,100000065514,1
266,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,9,100000065514,1
267,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,10,100000065514,1
268,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,11,100000065514,1
269,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2026,12,100000065514,1
